dateD,dailyPM,dailyTemp,dailyRH,dailyCVD
1/1/02,12.06422003,-3.059090661,61.16051794,164
1/1/03,22.85961585,5.474739526,94.76033056,136
1/1/04,10.45646033,2.954067945,75.47059429,131
1/1/05,20.24210879,6.779755669,84.76926228,173
1/1/06,17.9478835,2.555857677,90.8990329,162
1/1/08,18.09462086,3.285451764,85.0727116,122
1/1/09,9.718894781,-6.823871538,66.50425381,87
1/10/02,18.44953527,4.265647413,84.3086796,242
1/10/03,11.15125708,2.573458877,76.49454361,217
1/10/04,9.564879807,-12.22599861,47.18476774,144
1/10/05,17.60677256,1.546597138,92.30072091,257
1/10/06,15.90151253,4.882551682,77.71441546,236
1/10/07,10.71814511,0.068626682,74.81020867,210
1/10/08,10.61184985,5.067748432,67.0882695,201
1/10/09,11.761544,-2.925194327,79.95472768,135
1/11/02,17.01582578,4.432530041,88.46742162,238
1/11/03,8.30990687,-1.660483759,61.22230975,162
1/11/04,11.66094027,-9.196109892,45.96848142,153
1/11/05,13.79446116,0.954113159,86.05302316,229
1/11/06,23.95307056,5.32435907,88.13688571,262
1/11/07,12.03692612,-2.053056497,77.46589635,218
1/11/08,13.48184059,8.462527055,92.14089564,190
1/11/09,13.04875712,-0.682917781,90.75725913,103
1/12/02,9.251034841,2.776844856,76.93349349,177
1/12/03,9.576535287,-2.100476911,63.79410063,173
1/12/04,20.78096934,-1.043162162,86.25405545,272
1/12/05,11.78976081,2.842827517,92.66435872,247
1/12/06,15.32569425,8.932989401,85.12392342,244
1/12/07,16.14959342,3.398166378,86.19126394,180
1/12/08,13.44165224,6.876631314,78.11280252,113
1/12/09,14.95635033,-3.093328306,80.57159932,219
1/13/02,8.922513748,2.875671982,79.21928463,164
1/13/03,12.2297213,-0.914457595,69.77922085,258
1/13/04,13.5587962,1.200693677,82.95130089,246
1/13/05,22.63892391,5.624349188,93.8230205,211
1/13/06,21.15993778,6.502388846,91.61546421,224
1/13/07,22.90173486,7.868357274,94.70153629,173
1/13/08,12.33374978,3.771195347,79.83491696,107
1/13/09,18.06469129,-0.996972995,87.45133387,171
1/14/02,9.906884142,1.063253894,71.17939492,245
1/14/03,7.556719979,-3.660155647,54.96913512,221
1/14/04,8.476426419,-9.263429086,46.89783401,219
1/14/06,7.665095001,10.79788101,97.86818996,170
1/14/07,16.13302221,8.156436809,93.49048651,150
1/14/08,8.638864666,2.871701731,90.70624116,221
1/14/09,13.38347942,-2.9448795,71.00030867,173
1/15/02,17.89395843,4.881188131,82.8271831,259
1/15/03,10.14878764,-3.080715113,59.52039196,251
1/15/04,10.65087753,-10.46049252,76.60262801,198
1/15/05,10.04785852,0.362687433,54.34079185,150
1/15/06,4.741198532,-0.245105912,63.67953914,117
1/15/07,17.7119537,8.827771536,92.20998919,184
1/15/08,12.37876047,1.172450084,87.39008684,189
1/15/09,12.66223222,-5.523614089,72.08037211,189
1/16/02,9.09670583,2.777265352,69.0877376,230
1/16/03,12.21843165,-4.50350736,68.34698013,229
1/16/04,8.569707824,-13.34419501,74.00792135,205
1/16/05,11.01914968,0.213338259,52.52584817,156
1/16/06,8.161219583,-7.146558243,72.28863773,196
1/16/07,15.23278784,7.68422636,76.040699,265
1/16/08,8.415830481,-0.195622913,81.86216131,195
1/16/09,14.16941175,-8.958238601,63.850989,161
1/17/02,14.19009475,3.539156175,67.63940166,216
1/17/03,14.8391426,-2.704023737,80.88250522,230
1/17/04,9.669124523,-7.386795609,88.67175418,156
1/17/05,10.71785548,-1.953241944,69.48653162,185
1/17/06,13.88752678,-1.393113045,81.27547267,228
1/17/07,8.8160718,-3.947744095,43.03704334,192
1/17/08,9.23434592,-0.93625866,82.79356577,167
1/17/09,15.39941223,-10.20674575,69.51086599,124
1/18/02,10.83007725,1.223352617,59.21297859,185
1/18/03,10.64501023,-8.897655607,68.8689621,169
1/18/04,14.88391379,-0.647038662,94.24093235,137
1/18/05,9.435917523,-8.165846926,54.70400378,208
1/18/06,8.231829386,6.68355413,90.60501028,219
1/18/07,15.05986413,-0.758079489,68.86688888,215
1/18/08,9.909634159,3.485851294,85.73772046,199
1/18/09,15.2761274,-2.204425531,88.90862367,132
1/19/02,10.46416602,-0.207742088,52.08782573,161
1/19/03,16.31606367,-6.483828747,71.92375012,158
1/19/04,8.41247097,-3.202846046,75.94911692,167
1/19/05,12.12324062,-7.585457326,76.8327093,221
1/19/06,12.59209978,2.773066251,69.74554189,231
1/19/07,16.59662314,2.665395448,82.5645119,207
1/19/08,10.93878452,-0.733478521,81.74735571,132
1/19/09,27.56684681,-0.600816937,92.46478406,123
1/2/02,10.51578803,-2.872560173,67.02141789,274
1/2/03,8.425077039,1.72636102,85.86263911,269
1/2/04,14.70634857,3.913104489,83.31377549,217
1/2/05,9.243554986,2.854210199,81.66577099,158
1/2/06,14.00919589,3.225344175,84.7610299,179
1/2/08,10.64809269,-0.698106391,81.36192676,214
1/2/09,13.39818121,-2.476522098,79.59042065,180
1/20/02,13.99721599,-0.697210496,87.47479736,145
1/20/03,12.01797745,-4.037266249,66.97354622,202
1/20/04,8.24613353,-6.28316063,79.05900338,268
1/20/05,14.67848075,-2.71706809,79.00683157,218
1/20/06,13.90556027,5.767252911,83.60412319,223
1/20/07,9.842902015,-0.985725267,55.09530755,161
1/20/08,12.70259661,-3.320486928,74.59767331,142
1/20/09,20.41471551,-2.374216596,85.52958089,195
1/21/02,19.87985962,0.761142983,86.1256435,205
1/21/03,9.418662886,-7.020550068,62.18641803,232
